"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","17231.3797601625","20262.9448852322","24343.255181828","27313.495358357","27884.2531535502","28953.5247120064","29031.7437541823","29324.7920581327","29989.0181359428","29367.3096702448","28684.5649799691","29901.3592937614","29857.5596644533","29640.0452340025","31245.7240422944","29656.1040089547","28051.1192240863","28008.5035479577","29695.4929573171","29670.2876863246","29743.529628082","30160.5278390752","30092.7393652705","26903.1713501175","25857.4933834715","26647.6435400725","26150.636939894","27090.026166222","27011.3203157436","28396.9084228616","28847.814058488","29286.2493197282","","","","",
"Africa Eastern and Southern","AFE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","1462.40724600557","1477.21202067827","1439.37526883629","1400.43748641745","1405.36507890408","1362.17214401455","1351.78990536998","1364.06843626767","1379.99155990751","1375.86522552279","1337.59946291773","1299.02702274569","1233.65115586611","1187.07674337051","1178.99594717796","1198.50485405908","1232.31174814117","1241.70572959822","1231.64155591633","1231.53240016786","1238.55186151013","1249.55812798827","1266.27686828006","1269.71482051833","1306.95764251037","1354.00572792033","1406.78903203501","1463.69052361777","1490.08762303189","1464.15741768194","1498.42778592505","1516.76596164235","1505.0943068321","1527.75057132202","1546.13337867026","1549.03794037642","1538.58917515954","1536.36268587729","1533.51418349254","1525.1655160705","1442.74831008953","",
"Afghanistan","AFG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319.847107262897","332.22000973489","322.668009493498","345.925813841934","353.72059702447","392.71046559534","398.971116543866","472.842291632566","526.103675610541","511.998514848414","557.94969211234","568.964543504121","565.179273313985","556.007220861443","552.996907717033","553.355051712755","546.743010078504","555.138996255113","529.741210284938","",
"Africa Western and Central","AFW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1087.63480003551","1085.10708182642","1102.49374312688","1157.5156203143","1193.68427375519","1214.97897176975","1167.03066158595","1032.15318695608","1023.6943976105","1155.2343894563","1330.4100623714","1439.30615098856","1448.89782285194","1472.99254044524","1583.4083435527","1509.61738498628","1596.45340452671","1627.63757232952","1549.25535386553","1586.29866329035","1574.16646779913","1425.33775015189","1340.2238350798","1218.68791878722","1192.31296740216","1224.48184318939","1208.29786254072","1192.80918905828","1217.07356259035","1211.56016186266","1256.89965720199","1237.58348863328","1237.71050764422","1191.46954430909","1156.92358953468","1148.37411033016","1169.97486931324","1187.37900948678","1196.56196522159","1181.52954754468","1193.34516225251","1222.5216749993","1308.22950622598","1344.05235574443","1413.26810067425","1455.93048067074","1492.81825254382","1532.64464040752","1584.54545491279","1638.1552097762","1704.60805578538","1738.99339711556","1779.25413560387","1837.27358431556","1894.16998169127","1894.3101949536","1846.31666617559","1839.10375420898","1843.54575760053","1852.63357393843","1788.64406130283","",
"Angola","AGO","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3550.08297047352","3276.36170940381","3162.00412914841","3179.34823621788","3252.10786852736","3248.60811580696","3226.8171793178","3242.57910163663","3323.53429244914","3212.66272008254","2998.78075137846","2929.48288668575","2669.43470645828","1964.38971533127","1927.50048977793","2146.45565318357","2360.08780362789","2451.60865967943","2485.06684218924","2458.09645024045","2451.50982599127","2471.66462723733","2717.44096999519","2705.70613893833","2900.16696257258","3220.07808518711","3464.23466882131","3806.84917814926","4077.77684411643","3963.24842013776","3988.62364625167","3979.8150506227","4167.12579657488","4220.96480538831","4272.45553706668","4166.97983330278","3924.62047106472","3790.79156544691","3595.10666708754","3458.65051207408","3168.25387302793","",
"Albania","ALB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","1740.50538251578","1804.01030686473","1818.36734378011","1799.87814512623","1740.34722581973","1735.28985774577","1798.01460878981","1748.57826221694","1691.53050589089","1808.64560435629","1606.29604695504","1163.49129357696","1086.43848679251","1197.58059384726","1305.00071871372","1488.02049137342","1633.55157217752","1464.29757891526","1603.64723026087","1821.87265387433","1960.88194605323","2143.52627804401","2247.49749138029","2380.64399716233","2522.44871366768","2675.50793605792","2851.36701213888","3044.8958191892","3298.47804431218","3432.16997290283","3577.11338787611","3678.04673789692","3736.33910076819","3780.69820209921","3855.7597340804","3952.80253807527","4090.37165668632","4249.80373367692","4431.53918101288","4544.51500532738","4389.89621046134","",
"Andorra","AND","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","35391.0735982667","35159.4665794894","36166.4134416215","37123.2623281237","37504.7416968765","36246.6832767774","36175.3210521176","36081.6576564343","35551.7356067683","34462.4927619131","34014.4883728057","32669.4617417565","31709.2961035339","30896.9514847486","30084.5669133678","29480.3464493791","29178.5428478503","29564.8210377907","29854.800230417","30091.2493035748","30051.1777375729","29642.7114556457","28792.1981329368","27517.5487946599","27408.2800944199","27641.8864156175","28701.0947085249","31325.5173835279","32416.0142298075","33625.2437739494","34267.582236696","35974.8796537156","36158.5864331717","37620.2055439015","39042.9587661129","39782.9287639918","40602.5375828159","40391.8714598755","37610.5609459506","35362.6965506067","34667.1713089389","34956.5962291033","33750.0569181309","33220.5619485322","34721.891965559","35770.7767044085","37432.7626628952","37707.6836020581","38301.2984391299","39003.3844476073","34288.5384553102","",
"Arab World","ARB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","3929.58864723657","4408.9022053995","4617.0521768969","4446.3570480636","4788.07957673374","5060.36598340206","5066.44597442481","4493.58931594136","4081.26521751747","4016.10206975891","3821.89956053238","3878.59745501742","3757.58266422422","3869.03429620469","3841.10838022842","4163.2341046619","4147.3134724016","4282.35167062339","4300.8168639851","4331.36463388308","4325.90854913223","4425.89310041146","4515.73428821655","4647.24722280544","4631.75345046215","4833.3703265855","4811.06543467001","4737.79377070635","4854.86523225892","5175.9933470156","5333.22666105839","5525.38458548043","5638.30887445326","5821.01941027983","5719.3010403028","5853.00098312308","5937.50449764534","6097.82279689873","6142.05891690084","6165.9532394023","6220.71663600231","6292.43893403025","6229.11448045394","6258.31571207774","6266.94996118401","5824.17854816002","",
"United Arab Emirates","ARE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","99453.4580116189","99607.0094949","104936.661359419","90889.797412171","98553.303804323","111574.304333088","108563.210987955","95338.0154087741","86108.7956254961","85032.9776445173","77644.4391287893","62368.0363280731","60813.498605663","55816.1748611823","59119.7763610308","66023.6472282206","62854.0925527801","61294.5646690624","58633.3072591112","59364.7134219246","60169.0742522161","60548.5834082457","62264.9328326176","59297.9395123778","57875.0923794558","60716.2730926382","58421.8626112851","56815.0843982083","57932.2514401426","57910.2312952269","53844.7228148352","51197.3558547548","45388.6816605345","40755.1117835178","34580.2132278794","32534.8175526825","33246.1405938863","33996.5388927766","35495.7652689322","36995.7017172404","38663.4005026605","39400.0178280438","39798.521733276","39670.9315273407","40438.3385162429","37497.592591281","",
"Argentina","ARG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","7362.53406346594","7637.06665193832","7451.80339347471","6945.95712507871","7532.00447503701","8202.11254809786","8026.8762371626","8161.60211350399","8429.86888864047","9108.4968771818","9243.25657918774","9613.67688120479","9614.23793064163","9725.4670447684","10100.0684786638","9939.69662339375","9591.17200106077","10103.6273664386","9505.85621013129","10321.2391039196","10318.1829852084","9630.11517782086","9407.87464068984","9660.19212967857","9655.18364929907","9009.00172884746","9412.99481333182","9517.10860962445","9269.35579048858","8477.67290299912","8149.24061868556","8769.75039972016","9338.69951701644","9974.00441871003","10423.3788791662","10003.0916892982","10430.6824927136","11146.7210336555","11445.5649384682","10935.6445948055","10730.6082172968","10146.1068184859","8943.30800223846","9629.84408600561","10389.1512740641","11192.1795786128","11970.6553871118","12919.2353647124","13310.6236843092","12398.2835807357","13551.3391940229","14200.2698890608","13895.6337072986","14071.5086831557","13567.9484159809","13789.060424772","13360.2118345982","13595.0373551081","13105.397163317","12712.9707379001","11344.4057423154","",
