"","countries","iso3","NAMES_STD","continent","gdp_growth1981","gdp_growth1982","gdp_growth1983","gdp_growth1984","gdp_growth1985","gdp_growth1986","gdp_growth1987","gdp_growth1988","gdp_growth1989","gdp_growth1990","gdp_growth1991","gdp_growth1992","gdp_growth1993","gdp_growth1994","gdp_growth1995","gdp_growth1996","gdp_growth1997","gdp_growth1998","gdp_growth1999","gdp_growth2000","gdp_growth2001","gdp_growth2002","gdp_growth2003","gdp_growth2004","gdp_growth2005","gdp_growth2006","gdp_growth2007","gdp_growth2008","gdp_growth2009","gdp_growth2010","gdp_growth2011","gdp_growth2012","gdp_growth2013","gdp_growth2014","gdp_growth2015","gdp_growth2016","gdp_growth2017","gdp_growth2018","gdp_growth2019","gdp_growth2020","gdp_growth2021","gdp_growth2022","gdp_growth2023","gdp_growth2024","gdp_growth2025","gdp_growth2026","gdp_growth1961","gdp_growth1962","gdp_growth1963","gdp_growth1964","gdp_growth1965","gdp_growth1966","gdp_growth1967","gdp_growth1968","gdp_growth1969","gdp_growth1970","gdp_growth1971","gdp_growth1972","gdp_growth1973","gdp_growth1974","gdp_growth1975","gdp_growth1976","gdp_growth1977","gdp_growth1978","gdp_growth1979","gdp_growth1980","gdppc_growth1960","gdppc_growth1961","gdppc_growth1962","gdppc_growth1963","gdppc_growth1964","gdppc_growth1965","gdppc_growth1966","gdppc_growth1967","gdppc_growth1968","gdppc_growth1969","gdppc_growth1970","gdppc_growth1971","gdppc_growth1972","gdppc_growth1973","gdppc_growth1974","gdppc_growth1975","gdppc_growth1976","gdppc_growth1977","gdppc_growth1978","gdppc_growth1979","gdppc_growth1980","gdppc_growth1981","gdppc_growth1982","gdppc_growth1983","gdppc_growth1984","gdppc_growth1985","gdppc_growth1986","gdppc_growth1987","gdppc_growth1988","gdppc_growth1989","gdppc_growth1990","gdppc_growth1991","gdppc_growth1992","gdppc_growth1993","gdppc_growth1994","gdppc_growth1995","gdppc_growth1996","gdppc_growth1997","gdppc_growth1998","gdppc_growth1999","gdppc_growth2000","gdppc_growth2001","gdppc_growth2002","gdppc_growth2003","gdppc_growth2004","gdppc_growth2005","gdppc_growth2006","gdppc_growth2007","gdppc_growth2008","gdppc_growth2009","gdppc_growth2010","gdppc_growth2011","gdppc_growth2012","gdppc_growth2013","gdppc_growth2014","gdppc_growth2015","gdppc_growth2016","gdppc_growth2017","gdppc_growth2018","gdppc_growth2019","gdppc_growth2020","democracy_vdem1980"
"1","Albania","ALB","Albania","Europe",5.7,2.9,1.1,2,-1.5,5.6,-0.8,-1.4,9.8,-10,-28,-7.2,9.6,9.4,8.9,9.1,-10.9,8.8,12.9,6.9,8.3,4.5,5.5,5.5,5.5,5.9,6,7.5,3.4,3.7,2.5,1.4,1,1.8,2.2,3.3,3.8,4.1,2.2,-3.5,5,4,4,3.5,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6486485004425,0.795840084552765,-1.01680219173431,-3.30749726295471,-0.290595352649689,3.61465549468994,-2.74949645996094,-3.26252222061157,6.92361736297607,-11.1879053115845,-27.5668201446533,-6.62255144119263,10.2299489974976,8.96976184844971,14.0244960784912,9.78017997741699,-10.36110496521,9.51715278625488,13.60715675354,7.63386631011963,9.31112384796143,4.85392236709595,5.92563009262085,5.95188093185425,6.07139110565186,6.57033157348633,6.78392648696899,8.32803630828857,4.04888868331909,4.22303771972656,2.82155799865723,1.58515644073486,1.18720388412476,1.98542606830597,2.51685309410095,3.48011708259583,3.89771056175232,4.3283953666687,2.60988831520081,-2.75081634521484,-0.569701969623566
"2","Algeria","DZA","Algeria","Africa",3,6.4,5.4,5.6,5.6,-0.2,-0.7,-1.9,4.8,0.8,-1.2,1.6,-2.1,-0.9,3.8,3.8,1.1,5.1,3.2,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.9,3.4,2.8,3.8,3.7,3.2,1.3,1.2,0.8,-6,2.9,2.7,1.1,1,1,1.1,-13.6054410934448,-19.6850414276123,34.3137283325195,5.83941316604614,6.20689821243286,-4.80497074127197,9.45296287536621,10.796238899231,8.4332799911499,8.86265754699707,-11.3317193984985,27.4239692687988,3.81317639350891,7.49491786956787,5.04534149169922,8.38675689697266,5.25858592987061,9.21483612060547,7.4778265953064,0.79060697555542,NA,-15.7276849746704,-21.6445064544678,31.0105457305908,3.16456294059753,3.42112994194031,-7.40013790130615,6.38256216049194,7.64544677734375,5.36310529708862,5.82768630981445,-13.7598066329956,23.9750423431396,1.01237773895264,4.57149696350098,2.14409589767456,5.35388994216919,2.28273749351501,6.08138370513916,4.33359956741333,-2.21847224235535,-0.131096616387367,3.1298828125,2.15849661827087,2.38931894302368,0.612187087535858,-2.51555299758911,-3.50638127326965,-3.7103123664856,1.64418923854828,-1.75407648086548,-3.60108232498169,-0.56478875875473,-4.25098657608032,-2.93111658096313,1.83641052246094,2.29082345962524,-0.519902348518372,3.53436851501465,1.74870312213898,2.39949655532837,1.65967261791229,4.26207208633423,5.84090518951416,2.93454170227051,4.43825769424438,0.214792147278786,1.80825257301331,0.738194525241852,-0.134681880474091,1.74679064750671,0.98021000623703,1.40174758434296,0.761699378490448,1.7104549407959,1.60049366950989,1.10457015037537,-0.750456690788269,-0.811233162879944,-1.13072502613068,-7.20102214813232,-0.500597774982452
"3","Angola","AGO","Angola","Africa",-4.4,0,4.2,6,3.5,2.9,4.1,6.1,0,-3.5,12.1,11.4,11,10.5,10.4,11.2,7.3,4.7,2.2,3.1,4.2,13.7,3,11,15,11.5,14,11.2,0.9,4.9,3.5,8.5,5,4.8,0.9,-2.6,-0.2,-2,-0.6,-4,0.4,2.4,3.5,3.8,3.9,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.71027803421021,-3.49038314819336,0.548516273498535,2.28850769996643,-0.107614904642105,-0.67077761888504,0.488466531038284,2.49662971496582,-3.33595395088196,-6.65746736526489,-2.31086802482605,-8.87693119049072,-26.411771774292,-1.87789750099182,11.3595390319824,9.95278644561768,3.87785816192627,1.36474406719208,-1.08529841899872,-0.267956286668777,0.82213830947876,9.94375801086426,-0.431833893060684,7.18706369400024,11.030782699585,7.5823187828064,9.89004898071289,7.11684799194336,-2.80859971046448,0.640263319015503,-0.220842987298965,4.70651865005493,1.29199385643005,1.2198805809021,-2.46873736381531,-5.81618738174438,-3.40998339653015,-5.16211175918579,-3.79560804367065,-7.0798225402832,-0.922133505344391
"4","Argentina","ARG","Argentina","South America",-5.7,-3.1,3.7,2,-7,7.1,2.5,-2,-7,-1.3,10.5,10.3,6.3,5.8,-2.8,5.5,8.1,3.9,-3.4,-0.8,-4.4,-10.9,9,8.9,8.9,8,9,4.1,-5.9,10.1,6,-1,2.4,-2.5,2.7,-2.1,2.8,-2.6,-2.1,-10,5.8,2.5,2.1,1.7,1.6,1.5,5.42784309387207,-0.852021515369415,-5.30819702148438,10.1302976608276,10.5694332122803,-0.659726142883301,3.19199657440186,4.82250070571899,9.67952632904053,3.04564332962036,5.65813112258911,1.62841653823853,2.81175398826599,5.53380441665649,-0.0284121036529541,-2.01825141906738,6.93414783477783,-4.50612497329712,10.2227630615234,1.51878392696381,NA,3.72877860069275,-2.42584323883057,-6.78823947906494,8.4372444152832,8.89680957794189,-2.13647770881653,1.67843472957611,3.28693771362305,8.05027961730957,1.4794944524765,4.00746536254883,0.00583595084026456,1.1569207906723,3.85175776481628,-1.58782935142517,-3.5063910484314,5.34298992156982,-5.91640138626099,8.57769012451172,-0.0296099986881018,-6.66849803924561,-2.30776619911194,2.68198180198669,-0.0518465936183929,-6.69259071350098,4.48432683944702,1.10606455802917,-2.60323619842529,-8.54086208343506,-3.87408542633057,7.61432647705078,6.48763179779053,6.80292701721191,4.50545692443848,-4.03215885162354,4.27458667755127,6.86473321914673,2.6810028553009,-4.45517826080322,-1.87493634223938,-5.44704818725586,-11.8547821044922,7.6765341758728,7.88493728637695,7.72948884963989,6.95553350448608,7.92421102523804,3.02950072288513,-6.85422515869141,9.30012321472168,4.78868293762207,-2.14528441429138,1.26568520069122,-3.57858061790466,1.62966430187225,-3.11006379127502,1.757648229599,-3.55009126663208,-3.05585479736328,-10.774977684021,-0.92904394865036
"5","Armenia","ARM","Armenia","Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.1,5.4,8,5.2,3.4,6.3,3.2,5.9,9.5,14.8,14.1,10.5,14.1,13.2,13.7,6.9,-14.1,2.2,4.7,7.1,3.4,3.6,3.3,0.2,7.5,5.2,7.6,-7.6,1,3.5,5.2,4.7,4.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.8708438873291,-40.7446556091309,-6.63847017288208,7.95011568069458,9.1033878326416,7.50727319717407,4.47964429855347,8.14184856414795,3.95781850814819,6.57008647918701,10.2794027328491,13.8234634399414,14.6058216094971,11.1342296600342,14.6432075500488,14.0786075592041,14.6958684921265,7.81913805007935,-13.5193910598755,2.58289742469788,4.72831773757935,6.91369867324829,2.82392621040344,3.07317876815796,2.73591804504395,-0.161329865455627,7.18452215194702,4.95223093032837,7.38219738006592,-7.77168893814087,NA
"6","Australia","AUS","Australia","Oceania",4.1,0.1,-0.5,6.3,5.5,2.4,4.9,4.3,4.6,1.5,-1,2.6,3.9,4.9,2.8,4.2,4.6,4.7,4.5,3,2.6,4.1,2.8,4.1,3,2.7,4.4,2.7,1.9,2.4,2.8,3.8,2.1,2.6,2.3,2.7,2.4,2.8,1.9,-2.4,4.5,2.8,2.3,2.3,2.4,2.5,2.48576951026917,1.29608738422394,6.21463060379028,6.97852230072021,5.98350620269775,2.38245844841003,6.30262041091919,5.0958137512207,7.04432916641235,7.17218637466431,4.00368356704712,3.9125235080719,2.61372303962708,4.10336208343506,1.34991681575775,2.58769631385803,3.59742760658264,0.896879851818085,4.04348659515381,3.03424596786499,NA,0.46672260761261,-1.14625918865204,4.19703722000122,4.89968824386597,3.92674851417542,0.071361817419529,4.96922016143799,3.25801539421082,4.82715082168579,5.08135652542114,0.546809136867523,2.01990723609924,1.05687820911407,1.50134706497192,0.109760895371437,1.56423163414001,2.43677425384521,-0.269639313220978,2.92520189285278,1.78594100475311,1.71089231967926,1.61968982219696,-3.43563628196716,3.40388298034668,3.82000112533569,2.34626293182373,1.0031830072403,4.02727890014648,2.11804723739624,2.04945707321167,-1.65926861763,-0.79884535074234,3.01710605621338,2.8890163898468,2.5909206867218,2.52273464202881,2.80991911888123,3.49241328239441,3.87995934486389,2.70132875442505,0.565688729286194,2.73971605300903,1.72290027141571,2.85604882240295,1.85113954544067,1.28921401500702,3.19755959510803,1.60130226612091,-0.142470568418503,0.492053151130676,1.0488543510437,2.11968350410461,0.834364116191864,1.01511418819427,0.732407033443451,1.17790699005127,0.591766536235809,1.37996017932892,0.61818790435791,-1.5320862531662,1.82821476459503
"7","Austria","AUT","Austria","Europe",-0.1,1.9,2.8,0.3,2.2,2.3,1.7,1,3.9,4.3,3.4,2.1,0.5,2.4,2.7,2.4,2.1,3.6,3.6,3.4,1.3,1.7,0.9,2.7,2.2,3.5,3.7,1.5,-3.8,1.8,2.9,0.7,0,0.7,1,2,2.4,2.6,1.4,-6.6,3.5,4,2.3,2,1.8,1.8,5.53797912597656,2.64867520332336,4.13826751708984,6.12435388565063,3.48017501831055,5.64286136627197,3.00804781913757,4.47231292724609,6.27586698532104,6.32114267349243,5.11496877670288,6.20786094665527,4.89043521881104,3.94213795661926,-0.363735437393188,4.57844543457031,5.07998037338257,-0.210653692483902,5.35669994354248,1.73148560523987,NA,4.96071720123291,2.0214695930481,3.47146606445312,5.41933584213257,2.81001281738281,4.90447902679443,2.24100971221924,3.93124175071716,5.90949583053589,5.95049667358398,4.64694261550903,5.59238147735596,4.31090593338013,3.76537299156189,-0.0990300849080086,4.76337003707886,5.03964757919312,-0.129830494523048,5.53644800186157,1.73137784004211,-0.398620516061783,1.93812155723572,3.13962817192078,0.0575730912387371,2.45056557655334,2.2364022731781,1.29304528236389,3.14974641799927,3.42010188102722,3.55354762077332,2.41398644447327,0.976092219352722,-0.29875436425209,2.00876188278198,2.51091265678406,2.21143484115601,1.9779759645462,3.46782994270325,3.35504460334778,3.12743663787842,0.880259096622467,1.15267634391785,0.450946539640427,2.09971117973328,1.54987728595734,2.94341778755188,3.39173078536987,1.1433070898056,-4.0163402557373,1.59257709980011,2.57644820213318,0.222450584173203,-0.562298953533173,-0.122370667755604,-0.11154019087553,0.892469167709351,1.69076311588287,2.08169651031494,0.968753099441528,-6.98097848892212,1.79366266727448
"8","Azerbaijan","AZE","Azerbaijan","Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.1,-19.7,-13,2.5,8.9,6,11.4,6.2,6.5,9.4,10.2,9.3,28,34.5,25.5,10.6,9.4,4.8,-1.6,2.2,5.8,2.8,1,-3.1,0.2,1.5,2.2,-4.3,2.3,1.7,1.7,1.7,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2295835018158,-23.7638301849365,-24.2593994140625,-20.7781372070312,-12.8099670410156,0.282171308994293,4.78428220748901,8.96088790893555,6.46158218383789,10.191029548645,9.05182266235352,8.62535095214844,9.37646102905273,8.30153846740723,26.6600952148438,32.9970664978027,24.0486793518066,8.29339122772217,7.12181949615479,3.54986095428467,-2.84718298912048,0.853886067867279,4.48320293426514,1.52243161201477,-0.147024810314178,-4.14117479324341,-0.824348509311676,0.624884426593781,1.61616933345795,-5.12237930297852,NA
"9","Bahrain","BHR","Bahrain","Asia",2.8,6.4,7,4.2,-0.9,0.5,-1.2,6,1,3.5,2.3,7.1,7.6,3.2,1.9,3.2,2.3,4.8,6,7,2.5,3.3,6.3,7,6.8,6.5,8.3,6.2,2.5,4.3,2,3.7,5.4,4.4,2.5,3.6,4.3,1.7,2,-5.4,3.3,3.1,3.1,3.1,3.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.91629314422607,-10.3904676437378,3.55953645706177,2.22354388237,-7.52745151519775,-2.09657526016235,6.58700895309448,3.26992654800415,-2.94953370094299,1.31155622005463,8.21120357513428,3.97319531440735,10.1062059402466,-2.67809414863586,1.32887482643127,1.41793251037598,0.274316608905792,1.58498740196228,0.557068645954132,0.852690458297729,-2.34892272949219,-1.93598294258118,0.349253326654434,0.388421297073364,-0.353001981973648,-1.22745549678802,0.192120715975761,-1.25846660137177,-3.55414533615112,-0.356550276279449,-0.991765141487122,1.98946797847748,4.20741844177246,2.70680570602417,-0.187595039606094,-0.359639346599579,-0.475473374128342,-3.16357040405273,-2.46755599975586,-9.15897083282471,-1.00851380825043
"10","Bangladesh","BGD","Bangladesh","Asia",NA,2.4,4,5.2,3.2,4.2,3.7,2.2,2.6,5.9,3.3,5,4.6,4.1,4.9,4.6,5.4,5.2,4.9,5.9,5.3,4.4,5.3,6.3,6,6.6,7.1,6,5,5.6,6.5,6.5,6,6.1,6.6,7.1,7.3,7.9,8.2,3.8,5,7.5,7.3,7.3,7.3,7.2,6.05816078186035,5.45303106307983,-0.455894291400909,10.9527883529663,1.60625827312469,2.56681203842163,-1.87586390972137,9.48945426940918,1.22085785865784,5.61985206604004,-5.47948312759399,-13.973729133606,3.32568025588989,9.59195613861084,-4.08821392059326,5.66136121749878,2.67305612564087,7.0738377571106,4.80163478851318,0.819141864776611,NA,3.15906977653503,2.56630444526672,-3.22063112258911,7.77396488189697,-1.40861344337463,-0.613925218582153,-4.99506425857544,6.10295534133911,-1.62346696853638,3.06665563583374,-7.3533296585083,-15.3863792419434,1.77996253967285,7.83082389831543,-5.90072059631348,3.32247257232666,0.141704797744751,4.25480985641479,1.99128985404968,-1.85257971286774,4.44315624237061,-0.499724149703979,1.21552908420563,2.10780930519104,0.669033050537109,1.46427583694458,1.07853245735168,-0.207289561629295,0.274084210395813,3.08698201179504,1.10664713382721,3.11421537399292,2.46558237075806,1.69041657447815,2.90124416351318,2.31963515281677,2.30667686462402,3.01468300819397,2.57420825958252,3.25749659538269,3.1138060092926,1.96039485931396,2.94185018539429,3.55335855484009,4.9658408164978,5.24454116821289,5.75340700149536,4.80617618560791,3.87850069999695,4.39096307754517,5.25354719161987,5.29926013946533,4.79519605636597,4.8557562828064,5.36686611175537,5.94667816162109,6.13647842407227,6.73328828811646,7.04528951644897,1.3540563583374,0.152437210083008
