countries,total_deaths_per_million,democracy_vdem2000,democracy_vdem2019,total_gdp2000,total_gdp2019,mean_growth_rate_2001_2019
Albania,410.38293,-.36670434,-.17925182,3.483,15.276,4.1105261
Algeria,62.849133,-.70167166,-.99237686,54.749,171.07,3.2526317
Angola,12.322664,-1.2979871,-.71060085,11.166,89.60299999999999,5.6157894
Argentina,956.83716,1.2013843,.95992839,317.759,444.458,2.1263158
Armenia,952.67535,-.37406629,1.0484867,1.912,13.673,6.7105265
Australia,35.703484,1.3707085,1.1974254,399.101,1391.536,2.8473685
Austria,690.84204,1.2934084,1.249755,197.377,445.125,1.5368421
Azerbaijan,260.47485,-.98142463,-1.3788126,5.273,48.048,8.3789473
Bahrain,206.8662,-1.6439973,-1.6927915,9.063000000000001,38.474,4.3842106
Bangladesh,45.898525,.049244098,-1.1171633,54.348,302.396,6.305263
Barbados,24.358755,.92899328,.99213147,3.059,5.209,.48947367
Belarus,150.69865,-.75688612,-1.1413156,10.785,64.414,4.4578948
Belgium,1684.9565,1.3412609,1.4107699,236.897,533.157,1.5894737
Benin,3.6294053,.41365901,-.14704889,3.522,14.392,4.4421053
Bhutan,0,-1.5666972,.04214377,.423,2.488,7.2473683
Bolivia,785.14325,.9105885,.090448081,8.385,41.193,4.2578945
Bosnia and Herzegovina,1234.4493,.48359722,-.046414465,5.554,20.203,3.0947368
Botswana,17.859991,.74126434,.52518839,5.803,18.339,4.2631578
Brazil,917.15063,1.3118132,.62179726,655.454,1877.114,2.331579
Bulgaria,1090.3159,.75598824,.30379292,13.246,68.563,3.5999999
Burkina Faso,4.0663481,.075010702,.68620306,2.961,15.746,5.8631577
Burundi,.16819753,-1.2170061,-1.5277512,.87,2.968,2.863158
Cambodia,0,-.70903361,-1.3667364,3.667,26.728,7.6526318
Cameroon,16.876451,-.71271461,-.99237686,9.802,38.863,4.273684
Canada,416.37057,1.2050655,1.2658565,744.631,1741.576,1.9947368
Cape Verde,203.24179,.91795057,.92370003,.609,1.982,4.2578945
Central African Republic,13.044116,-.63173342,-.6220426,.868,2.277,.91578948
