"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2018","-3.6","-2.5","-3.2","-2.6","-3.7","-3.1","-2.8","-2.5","-0.4","-2.3"
"","1.0","0.6","0.6","0.6","1.2","0.9","0.4","0.4","2.9","0.5"
"N","79","79","129","129","152","152","133","133","144","144"
"F-Statistic (First stage)","5.0","6.1","3.1","6.4","10.9","2.0","3.0","4.2","0.7","6.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2018","-7.8","-10.1","-3.9","-6.8","2.5","14.0","-0.8","1.5","-0.5","-7.7"
"","4.6","18.8","2.4","3.8","1.7","13.2","2.3","2.8","18.6","53.9"
"N","79","79","129","129","152","152","133","133","144","144"
"F-Statistic (First stage)","8.6","0.7","18.5","5.8","27.4","1.1","3.0","1.4","0.2","0.05"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2000","-3.0","-3.0","-2.0","-1.8","0.6","-1.4","-3.1","-2.9","3.3","-1.5"
"","0.4","0.4","1.1","0.6","3.4","1.3","0.6","0.3","14.2","1.2"
"N","79.0","79.0","129","129","152","152","133","133","144","144"
"F-Statistic (First stage)","4.8","3.3","2.4","6.4","3.7","0.9","4.5","5.2","0.2","2.6"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2000","-1.7","-2.1","-1.4","-1.7","-0.9","-1.0","-1.1","-0.6","-3.3","-1.6"
"","0.6","1.9","0.3","0.5","0.6","3.4","0.4","0.5","12.8","2.4"
"N","79","79","129","129","152","152","133","133","144","144"
"F-Statistic (First stage)","16.5","2.0","33.4","17.0","3.8","0.2","3.1","1.7","0.04","0.9"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2018","538.4","570.8","492.6","641.3","596.3","628.2","320.6","420.3","1126.5","583.4"
"","168.3","144.2","199.4","163.0","400.8","200.6","106.5","103.4","1165.3","197.6"
"N","79","79","129","129","152","152","133","133","144","144"
"F-Statistic (First stage)","5.0","6.1","3.1","6.4","10.9","2.0","3.0","4.2","0.7","6.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2018","732.0","1130.3","437.9","617.8","145.5","-1225.8","285.6","48.9","1633.7","-1803.8"
"","274.1","1256.0","108.6","196.8","119.6","1089.0","92.2","83.5","3018.3","8549.0"
"N","79","79","129","129","152","152","133","133","144","144"
"F-Statistic (First stage)","8.6","0.7","18.5","5.8","27.4","1.1","3.0","1.4","0.2","0.05"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2018","-10.1","-7.4","-4.1","-4.2","3.0","8.3","-2.7","-3.7","-1.8","1.3"
"","5.3","6.0","1.9","1.6","1.9","6.8","1.2","1.2","2.9","9.9"
"N","77","77","127","127","150","150","131","131","142","142"
"F-Statistic (First stage)","6.2","2.2","3.1","6.4","7.7","1.2","2.7","2.3","1.6","0.2"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2000","-3.6","-6.0","-0.9","-2.0","-3.5","-6.9","-2.1","-1.7","-4.0","132.7"
"","0.9","4.7","1.0","0.7","1.2","5.9","0.6","0.8","1.3","2800.0"
"N","77","77","127","127","150","150","131","131","142","142"
"F-Statistic (First stage)","36.8","1.3","3.6","8.0","4.3","1.7","6.5","8.4","3.8","0.002"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2018","1359.7","931.7","548.8","458.3","-444.5","-1889.5","173.4","159.9","-25.9","-1862.8"
"","720.5","709.0","297.8","266.8","290.1","1350.3","161.5","149.4","642.0","4353.8"
"N","77","77","127","127","150","150","131","131","142","142"
"F-Statistic (First stage)","6.2","2.2","3.1","6.4","7.7","1.2","2.7","2.3","1.6","0.2"
