"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2018","-7.6","-8.3","-3.9","-4.4","2.4","6.6","-0.9","1.6","-0.7","-7.6"
"","-1.7","-0.8","-1.6","-1.7","1.5","1.5","-0.4","0.5","-0.04","-0.10"
"N","80","80","130","130","153","153","134","134","145","145"
"F-Statistic (First stage)","9.2","3.2","19.2","12.1","28.0","5.0","3.0","2.2","0.3","0.02"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2000","-1.7","-1.4","-1.5","-1.4","-0.9","0.4","-1.1","-0.6","-3.2","-1.0"
"","-3.0","-1.8","-4.5","-3.9","-1.5","0.2","-3.0","-1.6","-0.3","-0.4"
"N","80","80","130","130","153","153","134","134","145","145"
"F-Statistic (First stage)","16.9","7.9","34.3","28.0","3.9","0.5","3.1","2.7","0.05","0.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2018","703.6","731.4","436.6","429.1","141.8","-456.6","281.4","102.5","1534.7","-2633.5"
"","2.7","1.9","4.1","3.7","1.2","-1.6","3.1","1.6","0.6","-0.1"
"N","80","80","130","130","153","153","134","134","145","145"
"F-Statistic (First stage)","9.2","3.2","19.2","12.1","28.0","5.0","3.0","2.2","0.3","0.02"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2018","-10.0","-20.6","-4.1","-3.2","3.0","4.2","-2.7","-2.9","-1.8","-1.9"
"","-1.9","-0.8","-2.1","-2.2","1.6","1.4","-2.3","-2.3","-0.6","-0.5"
"N","78","78","128","128","151","151","132","132","143","143"
"F-Statistic (First stage)","6.4","0.9","3.1","4.9","7.8","3.9","2.7","2.1","1.6","1.1"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2000","-3.6","-4.8","-0.9","-1.6","-3.5","-4.4","-2.1","-1.6","-4.0","-4.5"
"","-3.9","-1.8","-0.9","-2.2","-2.8","-2.7","-3.5","-2.0","-3.1","-2.9"
"N","78","78","128","128","151","151","132","132","143","143"
"F-Statistic (First stage)","37.3","3.0","3.7","4.8","4.3","3.1","6.5","4.6","3.8","2.5"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index in 2018","1333.4","2421.1","549.7","351.0","-445.0","-847.6","174.4","90.2","-23.6","-276.8"
"","1.9","0.8","1.9","1.5","-1.5","-2.2","1.1","0.6","-0.04","-0.4"
"N","78","78","128","128","151","151","132","132","143","143"
"F-Statistic (First stage)","6.4","0.9","3.1","4.9","7.8","3.9","2.7","2.1","1.6","1.1"
