"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","-2.9","-2.3","-2.5","-2.1","-2.7","-2.2","-2.5","-2.2","-0.3","-2.0"
"","0.7","0.6","0.7","0.5","1.0","0.6","0.6","0.4","2.4","0.5"
"N","78","78","126","126","147","147","130","130","140","140"
"F-Statistic (First stage)","9.9","8.4","5.4","9.1","9.8","3.5","8.5","5.2","1.1","9.6"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","-3.1","-3.4","-2.2","-3.5","2.3","4.4","-2.6","-6.4","-0.3","-1.9"
"","1.5","5.1","2.2","3.4","1.4","3.2","0.9","1.9","14.1","9.8"
"N","78","78","126","126","147","147","130","130","140","140"
"F-Statistic (First stage)","42.8","6.0","19.3","8.6","8.3","4.5","8.7","1.5","0.3","1.1"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","-2.8","-2.9","-1.9","-1.9","0.2","-0.8","-2.4","-2.7","2.7","-1.4"
"","0.5","0.4","1.1","0.8","0.8","1.7","0.6","0.5","10.5","1.3"
"N","79.0","79.0","128","128","151","151","132","132","144","144"
"F-Statistic (First stage)","6.8","4.5","1.4","5.0","21.8","1.6","9.7","2.2","0.3","3.9"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","-1.1","-1.3","-1.5","-2.0","-0.6","-0.5","-1.1","-0.8","-1.0","-1.6"
"","0.4","1.0","0.3","0.5","0.4","1.1","0.3","0.7","2.6","2.6"
"N","79","79","128","128","151","151","132","132","144","144"
"F-Statistic (First stage)","29.4","5.0","25.1","12.2","7.8","1.4","5.5","1.4","0.3","0.8"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","443.6","524.0","416.0","539.8","496.6","482.7","305.6","405.6","888.3","515.4"
"","91.0","118.4","122.6","109.2","262.0","119.5","86.0","79.9","711.6","149.6"
"N","78","78","126","126","147","147","130","130","140","140"
"F-Statistic (First stage)","9.9","8.4","5.4","9.1","9.8","3.5","8.5","5.2","1.1","9.6"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","296.2","391.1","320.7","429.9","22.4","-377.8","306.8","143.3","1277.0","-364.7"
"","81.4","205.7","79.6","146.6","83.9","162.5","61.1","123.1","2154.7","551.4"
"N","78","78","126","126","147","147","130","130","140","140"
"F-Statistic (First stage)","42.8","6.0","19.3","8.6","8.3","4.5","8.7","1.5","0.3","1.1"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","-4.2","-5.0","-2.4","-3.8","2.6","4.6","-1.3","-2.1","-1.8","-0.08"
"","1.5","3.9","1.7","2.7","1.5","4.1","1.0","1.1","3.4","7.6"
"N","76","76","124","124","145","145","128","128","138","138"
"F-Statistic (First stage)","33.1","6.6","5.0","4.2","9.3","1.0","14.1","1.8","0.8","0.2"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","-2.7","-2.4","-0.7","-2.3","-1.2","-1.0","-1.4","-1.3","-4.2","6.5"
"","0.9","1.2","1.6","1.0","0.8","2.2","0.5","0.8","2.5","11.4"
"N","77","77","126","126","149","149","130","130","142","142"
"F-Statistic (First stage)","23.6","6.9","1.3","4.0","21.1","1.1","9.8","1.6","1.5","0.5"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","558.6","616.0","555.0","639.3","-479.7","-1375.1","181.0","32.8","-27.4","1441.3"
"","218.9","489.1","299.1","448.3","251.5","950.2","135.4","168.0","658.8","4237.6"
"N","76","76","124","124","145","145","128","128","138","138"
"F-Statistic (First stage)","33.1","6.6","5.0","4.2","9.3","1.0","14.1","1.8","0.8","0.2"
