"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","-3.1","-3.4","-2.2","-3.5","2.2","4.2","-2.6","-6.2","-0.5","-1.9"
"","1.5","5.1","2.2","3.3","1.4","3.1","0.8","2.0","12.9","9.6"
"N","79","79","127","127","148","148","131","131","141","141"
"F-Statistic (First stage)","43.1","6.0","19.6","8.8","8.6","4.7","8.7","1.4","0.3","1.2"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","-1.1","-1.3","-1.5","-2.0","-0.6","-0.5","-1.1","-0.9","-1.0","-1.6"
"","0.4","1.0","0.3","0.5","0.4","1.0","0.3","0.7","2.4","2.5"
"N","80","80","129","129","152","152","133","133","145","145"
"F-Statistic (First stage)","30.1","4.9","25.7","12.5","8.1","1.5","5.4","1.4","0.4","0.8"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","290.5","393.2","316.4","425.7","23.1","-362.0","300.0","132.4","1179.0","-355.7"
"","79.3","209.0","77.1","142.9","81.7","154.6","60.2","121.4","1826.4","533.6"
"N","79","79","127","127","148","148","131","131","141","141"
"F-Statistic (First stage)","43.1","6.0","19.6","8.8","8.6","4.7","8.7","1.4","0.3","1.2"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","-4.2","-5.1","-2.4","-3.8","2.5","4.5","-1.3","-2.1","-1.8","-0.1"
"","1.5","4.0","1.7","2.7","1.5","4.0","1.0","1.2","3.4","7.4"
"N","77","77","125","125","146","146","129","129","139","139"
"F-Statistic (First stage)","33.4","6.3","5.0","4.3","9.4","1.0","14.2","1.7","0.8","0.2"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","-2.6","-2.4","-0.7","-2.3","-1.2","-1.0","-1.4","-1.3","-4.2","6.4"
"","0.8","1.3","1.6","1.0","0.8","2.2","0.5","0.8","2.5","11.4"
"N","78","78","127","127","150","150","131","131","143","143"
"F-Statistic (First stage)","23.9","6.6","1.3","4.1","21.2","1.0","9.9","1.5","1.5","0.5"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (Economist Intelligence Unit)","552.4","627.0","553.3","638.8","-476.3","-1369.0","181.2","30.6","-24.8","1404.3"
"","215.4","503.8","297.1","446.9","249.5","941.7","135.2","169.4","651.9","4074.1"
"N","77","77","125","125","146","146","129","129","139","139"
"F-Statistic (First stage)","33.4","6.3","5.0","4.3","9.4","1.0","14.2","1.7","0.8","0.2"
