"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.6","-2.0","-2.2","-1.8","-2.9","-2.5","-2.2","-2.0","-0.3","-1.8"
"","0.7","0.5","0.6","0.4","1.2","0.8","0.6","0.3","2.0","0.5"
"N","79","79","129","129","152","152","133","133","144","144"
"F-Statistic (First stage)","9.6","7.0","6.6","9.4","7.1","2.0","6.5","6.4","1.1","7.6"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-5.1","-9.9","-2.3","-3.1","1.7","14.9","-2.3","-0.7","-0.4","-2.4"
"","2.8","18.6","2.0","2.7","1.2","16.0","1.2","2.3","14.9","13.9"
"N","79","79","129","129","152","152","133","133","144","144"
"F-Statistic (First stage)","13.6","0.7","30.7","13.5","7.5","0.4","4.0","0.9","0.3","0.5"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.6","-2.7","-1.5","-1.5","0.5","-1.2","-2.4","-2.4","1.8","-1.2"
"","0.4","0.4","0.9","0.6","1.7","1.3","0.5","0.4","6.5","1.1"
"N","79.0","79.0","129","129","152","152","133","133","144","144"
"F-Statistic (First stage)","5.6","3.4","1.9","6.6","5.1","0.6","4.4","3.7","0.5","3.6"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-1.5","-2.4","-1.4","-1.5","-0.6","0.8","-1.2","-0.9","-4.5","-1.0"
"","0.5","2.0","0.3","0.4","0.4","2.1","0.3","0.5","28.5","1.5"
"N","79","79","129","129","152","152","133","133","144","144"
"F-Statistic (First stage)","16.9","1.5","30.4","18.9","7.4","0.6","4.3","1.3","0.02","1.9"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","391.9","460.0","359.9","453.5","508.9","515.7","283.3","360.5","765.7","463.0"
"","77.1","106.5","97.2","83.7","306.4","143.0","69.7","59.2","594.5","131.9"
"N","79","79","129","129","152","152","133","133","144","144"
"F-Statistic (First stage)","9.6","7.0","6.6","9.4","7.1","2.0","6.5","6.4","1.1","7.6"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","478.6","1107.4","305.8","361.8","149.9","-1310.8","299.3","-77.7","1302.8","-553.7"
"","132.3","1257.8","69.7","102.2","97.9","1337.3","70.9","121.6","2209.7","1034.4"
"N","79","79","129","129","152","152","133","133","144","144"
"F-Statistic (First stage)","13.6","0.7","30.7","13.5","7.5","0.4","4.0","0.9","0.3","0.5"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-3.9","-5.6","-2.2","-2.9","2.1","4.4","-1.8","-3.2","-1.2","4.6"
"","1.4","4.9","1.3","1.3","1.2","3.5","0.9","1.3","1.9","49.7"
"N","77","77","127","127","150","150","131","131","142","142"
"F-Statistic (First stage)","24.1","3.0","5.8","6.6","7.5","2.0","9.6","1.4","1.8","0.008"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.8","-4.4","-0.8","-1.6","-2.3","-5.8","-1.7","-1.7","-3.9","9.7"
"","0.8","3.5","1.2","0.6","1.1","3.9","0.5","0.7","1.6","25.8"
"N","77","77","127","127","150","150","131","131","142","142"
"F-Statistic (First stage)","18.8","1.4","3.0","6.2","6.1","1.4","4.9","2.5","2.8","0.2"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","524.1","695.8","477.9","533.6","-262.1","-756.9","209.4","134.1","-17.7","-6703.5"
"","167.6","549.4","222.5","249.3","217.4","517.9","120.0","160.9","439.3","69183.7"
"N","77","77","127","127","150","150","131","131","142","142"
"F-Statistic (First stage)","24.1","3.0","5.8","6.6","7.5","2.0","9.6","1.4","1.8","0.008"
