"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-5.1","-7.0","-2.3","-2.8","1.7","7.2","-2.3","0.3","-0.6","-2.5"
"","-1.9","-0.9","-1.2","-1.2","1.4","1.4","-2.0","0.09","-0.04","-0.1"
"N","80","80","130","130","153","153","134","134","145","145"
"F-Statistic (First stage)","14.0","4.4","31.2","29.5","7.6","2.0","4.0","1.4","0.3","0.2"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-1.5","-1.6","-1.4","-1.4","-0.6","0.3","-1.3","-0.9","-3.8","-0.7"
"","-3.1","-1.8","-4.7","-4.0","-1.5","0.2","-3.7","-2.2","-0.2","-0.4"
"N","80","80","130","130","153","153","134","134","145","145"
"F-Statistic (First stage)","17.6","6.4","31.0","30.8","7.6","1.4","4.3","2.1","0.03","0.9"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","475.0","611.5","306.1","306.3","149.9","-504.4","297.7","47.4","1270.5","-868.5"
"","3.7","2.2","4.4","3.9","1.5","-1.5","4.2","0.7","0.6","-0.4"
"N","80","80","130","130","153","153","134","134","145","145"
"F-Statistic (First stage)","14.0","4.4","31.2","29.5","7.6","2.0","4.0","1.4","0.3","0.2"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-3.9","-11.1","-2.2","-3.0","2.1","3.2","-1.8","-3.1","-1.2","-1.5"
"","-2.8","-0.9","-1.7","-1.9","1.7","1.3","-1.9","-2.0","-0.6","-0.5"
"N","78","78","128","128","151","151","132","132","143","143"
"F-Statistic (First stage)","24.5","1.5","5.8","5.0","7.6","4.8","9.6","1.7","1.8","0.9"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.8","-4.2","-0.8","-1.5","-2.3","-3.1","-1.7","-1.7","-3.8","-4.7"
"","-3.4","-1.2","-0.7","-2.3","-2.1","-2.4","-3.3","-2.1","-2.4","-1.7"
"N","78","78","128","128","151","151","132","132","143","143"
"F-Statistic (First stage)","19.3","1.6","3.0","3.2","6.2","5.0","4.9","1.7","2.8","1.3"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","522.9","1299.4","477.6","526.0","-262.3","-568.1","209.7","126.2","-16.1","-211.9"
"","3.1","1.0","2.2","1.8","-1.2","-1.7","1.8","0.8","-0.04","-0.3"
"N","78","78","128","128","151","151","132","132","143","143"
"F-Statistic (First stage)","24.5","1.5","5.8","5.0","7.6","4.8","9.6","1.7","1.8","0.9"
