"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-5.1","-7.3","-2.3","-2.7","1.7","6.3","-2.3","-0.1","-0.6","-2.6"
"","-1.9","-1.0","-1.2","-1.1","1.4","1.4","-2.0","-0.05","-0.04","-0.004"
"N","80","80","130","130","153","153","134","134","145","145"
"F-Statistic (First stage)","14.0","3.4","31.2","20.8","7.6","2.1","4.0","1.8","0.3","0.0002"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-1.5","-1.9","-1.4","-1.5","-0.6","-0.3","-1.3","-1.1","-3.8","0.3"
"","-3.1","-2.2","-4.7","-4.1","-1.5","-0.2","-3.7","-2.5","-0.2","0.06"
"N","80","80","130","130","153","153","134","134","145","145"
"F-Statistic (First stage)","17.6","5.6","31.0","25.1","7.6","1.3","4.3","2.0","0.03","0.2"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","475.0","459.9","306.1","294.5","149.9","-501.9","297.7","10.3","1270.5","36969.0"
"","3.7","2.0","4.4","3.9","1.5","-1.5","4.2","0.1","0.6","0.02"
"N","80","80","130","130","153","153","134","134","145","145"
"F-Statistic (First stage)","14.0","3.4","31.2","20.8","7.6","2.1","4.0","1.8","0.3","0.0002"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-3.9","-7.9","-2.2","-2.7","2.1","3.1","-1.8","-3.1","-1.2","-1.4"
"","-2.8","-1.5","-1.7","-1.9","1.7","1.1","-1.9","-2.1","-0.6","-0.6"
"N","78","78","128","128","151","151","132","132","143","143"
"F-Statistic (First stage)","24.5","5.1","5.8","4.7","7.6","2.2","9.6","1.2","1.8","1.6"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.8","-3.3","-0.8","-1.1","-2.3","-3.3","-1.7","-1.7","-3.8","-4.4"
"","-3.4","-2.4","-0.7","-1.1","-2.1","-1.9","-3.3","-2.2","-2.4","-1.6"
"N","78","78","128","128","151","151","132","132","143","143"
"F-Statistic (First stage)","19.3","7.7","3.0","2.8","6.2","2.3","4.9","1.6","2.8","1.7"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","522.9","935.2","477.6","536.6","-262.3","-601.4","209.7","200.7","-16.1","-56.5"
"","3.1","1.6","2.2","1.8","-1.2","-1.2","1.8","1.3","-0.04","-0.1"
"N","78","78","128","128","151","151","132","132","143","143"
"F-Statistic (First stage)","24.5","5.1","5.8","4.7","7.6","2.2","9.6","1.2","1.8","1.6"
