"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.6","-2.0","-2.2","-1.8","-3.1","-2.7","-2.2","-2.0","-1.5","-1.6"
"","-4.0","-3.8","-3.6","-4.5","-3.2","-3.4","-3.8","-5.7","-2.1","-3.7"
"N","80","80","130","130","48","48","134","134","87","87"
"F-Statistic (First stage)","9.6","7.0","6.6","9.4","7.7","2.7","6.5","6.4","27.0","60.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-5.1","-9.9","-2.3","-3.1","1.9","-9.6","-2.3","-0.8","-0.7","-0.4"
"","-1.9","-0.5","-1.2","-1.1","1.5","-1.5","-2.0","-0.4","-0.2","-0.1"
"N","80","80","130","130","48","48","134","134","87","87"
"F-Statistic (First stage)","14.0","0.7","31.2","13.5","14.7","0.9","4.0","0.9","39.7","22.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.6","-2.7","-1.5","-1.5","0.2","-1.5","-2.4","-2.4","-2.4","-2.5"
"","-7.2","-6.1","-1.6","-2.4","0.06","-1.2","-5.0","-6.8","-5.3","-6.2"
"N","80.0","80.0","130","130","48","48","134","134","87","87"
"F-Statistic (First stage)","5.7","3.4","1.9","6.7","5.5","0.5","4.4","3.7","14.1","22.1"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-1.5","-2.4","-1.4","-1.5","-2.2","-2.6","-1.3","-1.0","-1.6","-1.7"
"","-3.1","-1.1","-4.7","-3.9","-2.9","-1.9","-3.7","-1.9","-4.0","-3.5"
"N","80","80","130","130","48","48","134","134","87","87"
"F-Statistic (First stage)","17.6","1.5","31.0","19.2","12.1","2.4","4.3","1.3","50.8","38.1"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","392.2","459.6","360.0","453.5","513.7","567.7","283.6","360.4","356.5","378.2"
"","5.1","4.3","3.7","5.4","1.8","3.4","4.1","6.1","4.9","7.5"
"N","80","80","130","130","48","48","134","134","87","87"
"F-Statistic (First stage)","9.6","7.0","6.6","9.4","7.7","2.7","6.5","6.4","27.0","60.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","475.0","1109.0","306.1","361.6","46.9","1472.3","297.7","-75.5","214.2","160.1"
"","3.7","0.9","4.4","3.5","0.3","1.5","4.2","-0.6","2.9","2.1"
"N","80","80","130","130","48","48","134","134","87","87"
"F-Statistic (First stage)","14.0","0.7","31.2","13.5","14.7","0.9","4.0","0.9","39.7","22.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-3.9","-5.6","-2.2","-2.9","3.4","0.3","-1.8","-3.2","0.2","0.9"
"","-2.8","-1.1","-1.7","-2.2","1.7","0.08","-1.9","-2.4","0.1","0.5"
"N","78","78","128","128","46","46","132","132","85","85"
"F-Statistic (First stage)","24.5","3.0","5.8","6.7","7.9","6.9","9.6","1.4","69.9","32.8"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.8","-4.5","-0.8","-1.6","-4.5","-6.7","-1.7","-1.7","-2.4","-2.3"
"","-3.4","-1.2","-0.7","-2.7","-1.8","-2.4","-3.3","-2.4","-1.8","-1.7"
"N","78","78","128","128","46.0","46.0","132","132","85","85"
"F-Statistic (First stage)","19.3","1.3","3.0","6.3","6.8","3.6","4.9","2.5","11.7","9.3"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","522.9","699.9","477.6","533.6","-328.5","593.5","209.7","134.1","210.0","201.7"
"","3.1","1.3","2.2","2.1","-0.8","1.1","1.8","0.8","1.4","0.8"
"N","78","78","128","128","46","46","132","132","85","85"
"F-Statistic (First stage)","24.5","3.0","5.8","6.7","7.9","6.9","9.6","1.4","69.9","32.8"
