"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","0.5","0.4","-2.2","-1.8","-2.9","-2.5","-2.2","-2.0","1.0","1.2"
"","0.5","0.2","-3.6","-4.5","-2.5","-3.2","-3.8","-5.7","0.9","0.7"
"N","60","60","130","130","153","153","134","134","86","86"
"F-Statistic (First stage)","20.5","2.5","6.6","9.4","7.1","2.0","6.5","6.4","99.1","36.8"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.8","117.2","-2.3","-3.1","1.7","14.8","-2.3","-0.8","-0.6","0.3"
"","-0.7","0.03","-1.2","-1.1","1.4","0.9","-2.0","-0.4","-0.2","0.07"
"N","60","60","130","130","153","153","134","134","86","86"
"F-Statistic (First stage)","6.9","0.0008","31.2","13.5","7.6","0.4","4.0","0.9","37.2","20.1"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.7","-1.8","-2.5","-2.2","-2.3","-2.2","-2.8","-2.6","-3.3","-3.2"
"","-4.2","-2.6","-9.3","-7.6","-5.1","-6.2","-8.5","-12.0","-2.3","-1.8"
"N","60","60","130","130","153","153","134","134","86","86"
"F-Statistic (First stage)","26.6","4.8","5.2","9.1","3.8","2.3","5.0","5.4","9.9","5.8"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-1.6","-2.6","-1.4","-1.5","-0.6","0.7","-1.3","-1.0","-1.5","-1.5"
"","-2.4","-0.6","-4.7","-3.9","-1.5","0.3","-3.7","-1.9","-3.7","-3.1"
"N","60","60","130","130","153","153","134","134","86","86"
"F-Statistic (First stage)","10.1","0.5","31.0","19.2","7.6","0.6","4.3","1.3","48.4","33.9"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","525.9","465.0","360.0","453.5","508.6","516.1","283.6","360.4","502.9","267.1"
"","3.1","0.8","3.7","5.4","1.7","3.6","4.1","6.1","3.8","1.0"
"N","60","60","130","130","153","153","134","134","86","86"
"F-Statistic (First stage)","20.5","2.5","6.6","9.4","7.1","2.0","6.5","6.4","99.1","36.8"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","496.2","14122.5","306.1","361.6","149.9","-1309.1","297.7","-75.5","220.7","147.9"
"","2.1","0.03","4.4","3.5","1.5","-1.0","4.2","-0.6","2.8","1.6"
"N","60","60","130","130","153","153","134","134","86","86"
"F-Statistic (First stage)","6.9","0.0008","31.2","13.5","7.6","0.4","4.0","0.9","37.2","20.1"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-1.5","-2.4","-2.2","-2.9","2.1","4.4","-1.8","-3.2","0.2","0.9"
"","-0.7","-0.5","-1.7","-2.2","1.7","1.3","-1.9","-2.4","0.1","0.5"
"N","59.0","59.0","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","6.2","1.4","5.8","6.7","7.6","2.0","9.6","1.4","69.9","32.8"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-1.5","-1.3","-0.8","-1.6","-2.3","-5.8","-1.7","-1.7","-2.4","-2.3"
"","-1.9","-1.2","-0.7","-2.7","-2.1","-1.5","-3.3","-2.4","-1.8","-1.7"
"N","59","59","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","9.7","1.4","3.0","6.3","6.2","1.5","4.9","2.5","11.7","9.3"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-74.1","-81.6","477.6","533.6","-262.3","-756.8","209.7","134.1","210.0","201.7"
"","-0.4","-0.2","2.2","2.1","-1.2","-1.5","1.8","0.8","1.4","0.8"
"N","59.0","59.0","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","6.2","1.4","5.8","6.7","7.6","2.0","9.6","1.4","69.9","32.8"
