"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-3.9","-11.1","-2.2","-3.0","2.1","3.2","-1.8","-3.1","0.2","0.6"
"","-2.8","-0.9","-1.7","-1.9","1.7","1.3","-1.9","-2.0","0.1","0.3"
"N","78","78","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","24.5","1.5","5.8","5.0","7.6","4.8","9.6","1.7","69.9","40.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-5.5","-8.2","-2.5","-3.0","1.1","5.2","-2.2","0.6","-0.6","0.3"
"","-1.8","-0.8","-1.1","-1.2","1.1","1.4","-1.8","0.2","-0.2","0.06"
"N","78","78","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","12.3","3.3","28.7","27.3","11.8","2.4","4.0","1.5","32.5","27.7"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.8","-4.2","-0.8","-1.5","-2.3","-3.1","-1.7","-1.7","-2.4","-2.4"
"","-3.4","-1.2","-0.7","-2.3","-2.1","-2.4","-3.3","-2.1","-1.8","-1.4"
"N","78","78","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","19.3","1.6","3.0","3.2","6.2","5.0","4.9","1.7","11.7","6.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-1.5","-1.4","-1.3","-1.3","-0.8","-0.2","-1.2","-0.9","-1.5","-1.4"
"","-2.9","-1.4","-4.3","-3.8","-2.5","-0.3","-3.6","-2.2","-3.5","-3.0"
"N","78","78","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","15.5","5.4","28.6","29.3","14.5","3.1","4.2","2.4","43.5","37.5"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","522.9","1299.4","477.6","526.0","-262.3","-568.1","209.7","126.2","210.0","265.5"
"","3.1","1.0","2.2","1.8","-1.2","-1.7","1.8","0.8","1.4","1.3"
"N","78","78","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","24.5","1.5","5.8","5.0","7.6","4.8","9.6","1.7","69.9","40.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","456.0","696.7","297.1","299.2","182.8","-324.1","308.5","57.6","183.1","180.6"
"","3.4","1.9","4.1","3.6","2.0","-1.3","4.3","0.8","2.5","2.4"
"N","78","78","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","12.3","3.3","28.7","27.3","11.8","2.4","4.0","1.5","32.5","27.7"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-3.9","-11.1","-2.2","-3.0","2.1","3.2","-1.8","-3.1","0.2","0.6"
"","-2.8","-0.9","-1.7","-1.9","1.7","1.3","-1.9","-2.0","0.1","0.3"
"N","78","78","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","24.5","1.5","5.8","5.0","7.6","4.8","9.6","1.7","69.9","40.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.8","-4.2","-0.8","-1.5","-2.3","-3.1","-1.7","-1.7","-2.4","-2.4"
"","-3.4","-1.2","-0.7","-2.3","-2.1","-2.4","-3.3","-2.1","-1.8","-1.4"
"N","78","78","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","19.3","1.6","3.0","3.2","6.2","5.0","4.9","1.7","11.7","6.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","522.9","1299.4","477.6","526.0","-262.3","-568.1","209.7","126.2","210.0","265.5"
"","3.1","1.0","2.2","1.8","-1.2","-1.7","1.8","0.8","1.4","1.3"
"N","78","78","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","24.5","1.5","5.8","5.0","7.6","4.8","9.6","1.7","69.9","40.4"
