"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.6","-2.1","-2.2","-1.7","-2.9","-2.3","-2.2","-2.0","-1.5","-1.7"
"","-4.0","-4.0","-3.6","-4.4","-2.5","-4.2","-3.8","-6.2","-2.1","-5.0"
"N","80","80","130","130","153","153","134","134","87","87"
"F-Statistic (First stage)","9.6","6.9","6.6","10.2","7.1","5.0","6.5","6.0","27.0","99.1"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-5.1","-12.9","-2.3","-1.5","1.7","5.6","-2.3","0.2","-0.7","0.9"
"","-1.9","-0.09","-1.2","-0.5","1.4","1.1","-2.0","0.09","-0.2","0.2"
"N","80","80","130","130","153","153","134","134","87","87"
"F-Statistic (First stage)","14.0","0.01","31.2","10.5","7.6","1.3","4.0","1.4","39.7","18.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.6","-4.5","-1.5","-1.4","0.4","-1.6","-2.4","-1.9","-2.4","-3.4"
"","-7.2","-1.5","-1.6","-2.4","0.3","-2.5","-5.0","-3.2","-5.3","-4.4"
"N","80.0","80.0","130","130","153","153","134","134","87","87"
"F-Statistic (First stage)","5.7","0.7","1.9","5.7","5.2","1.7","4.4","1.6","14.1","11.5"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-1.5","2.0","-1.4","-1.4","-0.6","-4.7","-1.3","-0.6","-1.6","-1.9"
"","-3.1","0.4","-4.7","-2.9","-1.5","-0.5","-3.7","-0.9","-4.0","-2.9"
"N","80","80","130","130","153","153","134","134","87","87"
"F-Statistic (First stage)","17.6","0.5","31.0","12.1","7.6","0.08","4.3","1.0","50.8","21.3"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","392.2","461.7","360.0","439.2","508.6","462.0","283.6","375.3","356.5","370.3"
"","5.1","4.2","3.7","6.2","1.7","5.5","4.1","7.3","4.9","8.8"
"N","80","80","130","130","153","153","134","134","87","87"
"F-Statistic (First stage)","9.6","6.9","6.6","10.2","7.1","5.0","6.5","6.0","27.0","99.1"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","475.0","-4440.7","306.1","273.3","149.9","-563.7","297.7","-78.4","214.2","133.7"
"","3.7","-0.1","4.4","2.4","1.5","-1.5","4.2","-0.7","2.9","1.6"
"N","80","80","130","130","153","153","134","134","87","87"
"F-Statistic (First stage)","14.0","0.01","31.2","10.5","7.6","1.3","4.0","1.4","39.7","18.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-3.9","-7.9","-2.2","-2.6","2.1","2.8","-1.8","-4.3","0.2","3.8"
"","-2.8","-1.1","-1.7","-1.8","1.7","0.5","-1.9","-2.0","0.1","1.0"
"N","78","78","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","24.5","1.7","5.8","7.4","7.6","0.8","9.6","0.8","69.9","14.5"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.8","5.0","-0.8","-1.1","-2.3","-4.2","-1.7","-0.10","-2.4","-5.2"
"","-3.4","0.6","-0.7","-1.8","-2.1","-0.6","-3.3","-0.10","-1.8","-1.0"
"N","78","78","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","19.3","0.4","3.0","5.3","6.2","0.3","4.9","2.3","11.7","1.7"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","522.9","1030.0","477.6","502.1","-262.3","-1537.3","209.7","207.5","210.0","94.3"
"","3.1","1.3","2.2","2.2","-1.2","-0.8","1.8","1.5","1.4","0.3"
"N","78","78","128","128","151","151","132","132","85","85"
"F-Statistic (First stage)","24.5","1.7","5.8","7.4","7.6","0.8","9.6","0.8","69.9","14.5"
