"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.6","-3.0","-2.2","-2.4","-2.9","-3.2","-2.2","-2.5","-1.6","-1.9"
"","-4.0","-4.4","-3.6","-4.0","-2.5","-2.7","-3.8","-5.0","-2.3","-4.2"
"N","80","80","130","130","153","153","134","134","89","89"
"F-Statistic (First stage)","9.6","8.5","6.6","5.4","7.1","1.0","6.5","3.1","12.8","11.1"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-5.1","-7.0","-2.3","-2.8","1.7","7.2","-2.3","0.3","-0.7","-0.2"
"","-1.9","-0.9","-1.2","-1.2","1.4","1.4","-2.0","0.09","-0.2","-0.06"
"N","80","80","130","130","153","153","134","134","89","89"
"F-Statistic (First stage)","14.0","4.4","31.2","29.5","7.6","2.0","4.0","1.4","22.1","19.9"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.6","-2.8","-1.5","-1.2","0.4","0.6","-2.4","-2.6","-2.6","-2.7"
"","-7.2","-6.1","-1.6","-1.1","0.3","0.2","-5.0","-4.3","-5.3","-5.1"
"N","80.0","80.0","130","130","153","153","134","134","89","89"
"F-Statistic (First stage)","5.7","2.6","1.9","2.4","5.2","0.8","4.4","2.5","6.9","4.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-1.5","-1.6","-1.4","-1.4","-0.6","0.3","-1.3","-0.9","-1.8","-1.8"
"","-3.1","-1.8","-4.7","-4.0","-1.5","0.2","-3.7","-2.2","-3.9","-3.6"
"N","80","80","130","130","153","153","134","134","89","89"
"F-Statistic (First stage)","17.6","6.4","31.0","30.8","7.6","1.4","4.3","2.1","31.4","27.6"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","392.2","357.9","360.0","364.3","508.6","548.3","283.6","269.4","400.8","384.5"
"","5.1","4.4","3.7","3.4","1.7","1.7","4.1","3.6","3.9","4.0"
"N","80","80","130","130","153","153","134","134","89","89"
"F-Statistic (First stage)","9.6","8.5","6.6","5.4","7.1","1.0","6.5","3.1","12.8","11.1"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","475.0","611.5","306.1","306.3","149.9","-504.4","297.7","47.4","232.3","229.5"
"","3.7","2.2","4.4","3.9","1.5","-1.5","4.2","0.7","2.7","2.5"
"N","80","80","130","130","153","153","134","134","89","89"
"F-Statistic (First stage)","14.0","4.4","31.2","29.5","7.6","2.0","4.0","1.4","22.1","19.9"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-3.9","-11.1","-2.2","-3.0","2.1","3.2","-1.8","-3.1","-0.8","-1.0"
"","-2.8","-0.9","-1.7","-1.9","1.7","1.3","-1.9","-2.0","-0.3","-0.3"
"N","78","78","128","128","151","151","132","132","87","87"
"F-Statistic (First stage)","24.5","1.5","5.8","5.0","7.6","4.8","9.6","1.7","5.1","3.4"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","-2.8","-4.2","-0.8","-1.5","-2.3","-3.1","-1.7","-1.7","-3.2","-3.7"
"","-3.4","-1.2","-0.7","-2.3","-2.1","-2.4","-3.3","-2.1","-1.8","-1.4"
"N","78","78","128","128","151","151","132","132","87","87"
"F-Statistic (First stage)","19.3","1.6","3.0","3.2","6.2","5.0","4.9","1.7","3.9","2.1"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"Democracy Index (V-Dem)","522.9","1299.4","477.6","526.0","-262.3","-568.1","209.7","126.2","357.0","486.6"
"","3.1","1.0","2.2","1.8","-1.2","-1.7","1.8","0.8","1.2","1.3"
"N","78","78","128","128","151","151","132","132","87","87"
"F-Statistic (First stage)","24.5","1.5","5.8","5.0","7.6","4.8","9.6","1.7","5.1","3.4"
