"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","0.3","0.9","1.2","1.1","282.2"
"","1.1","1.0","1.1","0.9","26914.2"
"Observations","78","130","139","139","127"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","2.7","-0.6","1.3","-0.4","-1.2"
"","1.7","0.8","1.2","1.0","39.3"
"Observations","79","132","141","141","129"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.3","-2.1","2.8","-0.4","65.9"
"","1.9","0.9","1.4","0.9","457.9"
"Observations","80","133","143","142","131"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.6","-1.5","1.7","1.3","73.5"
"","1.4","1.0","1.2","0.9","505.5"
"Observations","80","133","143","142","131"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","1.9","-0.2","1.9","1.4","8.2"
"","1.4","0.8","1.3","0.8","64.9"
"Observations","80","133","143","142","131"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-2.0","-0.8","0.1","-0.1","50.3"
"","1.1","0.7","0.9","0.6","343.6"
"Observations","80","133","143","142","131"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.9","-0.05","1.9","0.9","-11.6"
"","0.6","0.7","0.9","0.6","84.1"
"Observations","80","133","143","143","131"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","1.5","0.8","2.0","1.1","4.1"
"","1.2","1.0","1.1","0.7","37.5"
"Observations","80","133","143","143","131"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","0.8","-1.3","1.5","-0.8","-44.5"
"","1.1","1.0","1.4","1.0","514.1"
"Observations","80","133","144","144","132"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.5","-0.5","1.0","0.2","-62.8"
"","1.2","0.8","1.3","0.8","729.0"
"Observations","80","133","144","144","132"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.4","-0.2","1.0","-1.2","56.7"
"","1.0","0.8","1.2","0.8","659.3"
"Observations","80","133","144","144","132"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-1.4","0.07","-1.5","-2.3","201.3"
"","1.3","0.8","1.5","0.9","5164.6"
"Observations","83","139","152","150","139"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","1.7","1.3","-3.0","0.05","-16.1"
"","1.3","1.1","2.0","0.9","139.0"
"Observations","83","139","154","150","141"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","2.4","0.1","-0.7","-0.2","-6.7"
"","1.5","0.7","1.3","0.8","18.9"
"Observations","83","139","165","150","152"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","2.9","0.4","2.4","1.1","16.9"
"","1.6","0.8","1.2","0.9","35.3"
"Observations","83","139","167","150","154"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-0.6","-1.2","0.7","-0.9","17.8"
"","1.3","0.6","1.0","0.7","40.7"
"Observations","83","139","168","150","155"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","1.7","-0.9","0.9","-0.3","6.2"
"","1.6","0.6","1.5","0.6","15.4"
"Observations","83","140","171","151","157"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","1.1","0.9","-1.5","0.8","-18.6"
"","1.2","0.6","1.9","0.8","36.0"
"Observations","83","140","171","151","157"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-1.3","1.7","0.2","0.4","4.0"
"","1.0","0.7","0.7","0.7","10.3"
"Observations","83","141","172","151","157"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","1.0","0.02","0.5","0.2","11.7"
"","0.9","0.7","0.9","0.6","26.1"
"Observations","84","144","175","154","160"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","1.5","0.2","-0.02","1.5","1.9"
"","1.0","0.6","1.5","0.7","10.7"
