"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2006","-3.6","-2.7","-2.8","-3.3","-1.5"
"","0.3","0.8","1.2","0.4","4.7"
"Observations","86","142","173","156","159"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2007","-4.1","-3.5","-4.4","-3.9","-5.0"
"","0.4","0.7","1.1","0.5","2.6"
"Observations","86","143","174","156","159"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2008","-3.9","-2.9","-3.7","-3.5","-0.6"
"","0.3","0.6","0.9","0.3","6.3"
"Observations","86","142","173","155","158"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2009","-4.4","-3.5","-1.3","-4.6","-0.6"
"","0.4","1.3","3.2","0.8","6.0"
"Observations","86","142","173","155","158"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2010","-3.6","-3.2","-2.9","-3.4","-3.3"
"","0.5","0.5","0.8","0.5","1.8"
"Observations","86","142","173","155","158"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2011","-2.8","-2.3","-2.2","-2.9","0.1"
"","0.2","0.6","1.0","0.3","5.2"
"Observations","86","142","173","155","158"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2012","-2.3","-2.1","-1.0","-2.4","0.3"
"","0.3","0.4","1.2","0.4","3.3"
"Observations","86","142","172","155","157"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2013","-2.3","-2.2","-1.5","-2.3","-1.5"
"","0.2","0.4","0.9","0.4","1.1"
"Observations","86","142","172","155","157"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2014","-1.7","-1.5","-0.7","-2.0","-1.4"
"","0.3","0.6","1.3","0.4","1.7"
"Observations","86","142","172","155","157"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2015","-1.5","-1.4","-0.7","-1.5","-2.4"
"","0.3","0.6","1.2","0.5","2.1"
"Observations","85","141","171","154","156"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2016","-1.7","-2.0","-1.7","-2.1","-3.9"
"","0.4","0.4","0.6","0.4","2.8"
"Observations","85","141","171","154","156"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2017","-1.7","-1.7","-1.7","-1.8","-2.9"
"","0.2","0.3","0.4","0.3","1.6"
"Observations","85","141","171","154","156"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2018","-1.6","-1.6","-1.1","-1.9","-1.0"
"","0.2","0.3","0.8","0.3","1.5"
"Observations","85","141","171","154","156"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2019","-1.4","-1.4","-1.1","-1.6","-1.2"
"","0.1","0.3","0.6","0.2","0.9"
"Observations","85","140","168","153","154"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2006","-3.6","-2.7","-2.8","-3.3","-1.5"
"","0.3","0.8","1.2","0.4","4.7"
"Observations","86","142","173","156","159"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2007","-4.1","-3.5","-4.4","-3.9","-5.0"
"","0.4","0.7","1.1","0.5","2.6"
"Observations","86","143","174","156","159"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2008","-3.9","-2.9","-3.7","-3.5","-0.6"
"","0.3","0.6","0.9","0.3","6.3"
"Observations","86","142","173","155","158"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2009","-4.4","-3.5","-1.3","-4.6","-0.6"
"","0.4","1.3","3.2","0.8","6.0"
"Observations","86","142","173","155","158"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2010","-3.6","-3.2","-2.9","-3.4","-3.3"
"","0.5","0.5","0.8","0.5","1.8"
"Observations","86","142","173","155","158"
"","est1","est2","est3","est4","est5"
"","b/se","b/se","b/se","b/se","b/se"
"Democracy Index in 2011","-2.8","-2.3","-2.2","-2.9","0.1"
