countries,gdp_growth,total_deaths_per_million,democracy_fh,total_gdp
Saint Vincent and the Grenadines,-7,0,3.0294309,.8247185185185184
Bhutan,.6,0,1.9641364,2.530547157566781
Samoa,-5,0,2.6965263,.8522501909854852
Cambodia,-2.8,0,.8322612,27.08938978697901
Laos,.2,0,.46606627,18.1738391474011
Solomon Islands,-5,0,2.6299453,1.589913622237991
Federated States of Micronesia,-3.8,0,3.0627213,
Vanuatu,-8.300000000000001,0,2.7298167,.9342399738125726
Seychelles,-13.8,0,2.3969123,1.703387387323191
Grenada,-11.8,0,2.9628499,1.210603703703704
Burundi,-3.2,.16819753,.43277583,3.012334881640566
Mongolia,-2,.3050369,2.7963977,13.99671932940975
Tanzania,1.9,.35155731,1.331618,63.17706817454897
Vietnam,1.6,.35956964,.66580898,261.9212448431723
Eritrea,-.6,.84592181,.066580899,
Thailand,-7.1,.90257907,1.0652944,543.5489699686932
Papua New Guinea,-3.3,1.0059208,2.0640078,24.82910701107011
Fiji,-21,2.2310374,1.9974269,5.496250694315868
China,1.9,3.4043429,.33290449,14342.9030064313
Benin,2,3.6294053,2.1971695,14.39070909493855
Burkina Faso,-2,4.0663481,1.8642651,15.99080356999613
Niger,.5,4.2963424,1.5979415,12.91168965935099
Singapore,-6,4.9569745,1.6645224,372.062527488638
New Zealand,-6.1,5.18432,3.2291734,206.9287655439348
Ivory Coast,1.8,5.1936679,1.6978128,58.53942492972483
Mozambique,-.5,5.3110762,1.4980701,15.291448211603
Uganda,-.3,5.4874182,1.1318753,35.16515701691248
Guinea,1.4,6.167767,1.331618,12.29666533119203
Nigeria,-4.3,6.2530446,1.564651,448.1204288587692
Chad,-.7,6.33148,.56593764,11.31495134278073
Democratic Republic of the Congo,-2.2,6.5988245,.59922808,50.40074617142387
Brunei,.1,6.8574095,.93213254,13.46942295851048
Rwanda,2,7.1030354,.73238987,10.35441772515549
Mauritius,-14.2,7.8630757,2.9628499,14.0484305185561
Somalia,-1.5,8.1795893,.23303314,
Togo,0,8.2138128,1.4647797,5.490272413387016
Madagascar,-3.2,9.4254389,2.0307174,14.11463128067738
Tajikistan,1,9.4362946,.29961404,8.116626794258373
Sri Lanka,-4.6,9.5268116,1.8642651,84.00878375606801
Sierra Leone,-3.1,9.5274096,2.1638792,4.121733705291649
Malawi,.6,9.8797932,2.0640078,7.666704427009146
Ghana,.9,10.781083,2.7298167,66.98363422394296
Comoros,-1.8,11.499606,1.4647797,1.165839927063273
Angola,-4,12.322664,1.0652944,88.81569779330299
Central African Republic,-1,13.044116,.33290449,2.220307368695928
