"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-3.1","-2.6","-2.7","-2.1","-3.5","-2.6","-2.5","-2.4","-0.2","-2.1"
"","0.7","0.7","0.7","0.6","1.4","0.6","0.7","0.4","3.2","0.7"
"Observations","85","85","140","140","168","168","149","149","155","155"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","440.5","494.0","416.9","519.7","550.4","483.9","297.4","389.1","1035.2","486.4"
"","87.6","120.0","127.8","105.9","335.6","94.9","90.0","70.1","1051.3","137.9"
"Observations","85","85","140","140","168","168","149","149","155","155"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"Log European Settler Mortality","-0.6","-0.8","","","","","","","",""
"","0.2","0.3","","","","","","","",""
"Fraction Speaking English","","","0.8","0.9","","","","","",""
"","","","0.3","0.4","","","","","",""
"Fraction Speaking European","","","1.0","0.8","","","","","",""
"","","","0.3","0.2","","","","","",""
"Log Frankel-Romer Trade Share","","","0.6","0.2","","","","","",""
"","","","0.2","0.2","","","","","",""
"British Legal Origin","","","","","-0.5","0.5","","","",""
"","","","","","0.2","0.4","","","",""
"French Legal Origin","","","","","-0.9","-0.3","","","",""
"","","","","","0.2","0.4","","","",""
"German Legal Origin","","","","","-1.6","-1.0","","","",""
"","","","","","0.8","0.4","","","",""
"Bananas","","","","","","","-0.1","0.1","",""
"","","","","","","","0.4","0.4","",""
"Coffee","","","","","","","-0.3","0.6","",""
"","","","","","","","0.2","0.3","",""
"Copper","","","","","","","-0.5","0.1","",""
"","","","","","","","0.4","0.3","",""
"Maize","","","","","","","0.7","1.2","",""
"","","","","","","","0.3","0.4","",""
"Millet","","","","","","","-0.5","-0.3","",""
"","","","","","","","0.4","0.2","",""
"Rice","","","","","","","-0.9","-0.9","",""
"","","","","","","","0.5","0.4","",""
"Silver","","","","","","","1.0","0.6","",""
"","","","","","","","0.4","0.3","",""
"Sugarcane","","","","","","","1.2","0.7","",""
"","","","","","","","0.5","0.4","",""
"Rubber","","","","","","","-1.8","-1.8","",""
"","","","","","","","0.5","0.3","",""
"Wheat","","","","","","","-0.3","0.9","",""
"","","","","","","","0.4","0.5","",""
"Log Population Density in 1500s","","","","","","","","","-0.08","-0.2"
"","","","","","","","","","0.1","0.07"
"R-squared","0.6","0.6","0.6","0.7","0.2","0.7","0.6","0.8","0.04","0.6"
"F","10.1","4.3","4.7","8.8","6.8","12.6","8.8","10.3","0.7","5.3"
"Observations","85","85","140","140","168","168","149","149","155","155"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","-2.9","-2.4","-2.4","-2.1","-2.3","-2.0","-2.3","-2.0","-2.4","-2.0"
"","0.5","0.4","0.6","0.4","0.6","0.4","0.6","0.4","0.7","0.4"
"Observations","85","85","140","140","168","168","149","149","155","155"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"Democracy Index","347.0","341.2","264.0","337.0","264.0","333.8","264.6","334.6","277.9","325.2"
"","61.8","56.3","65.7","67.5","65.3","66.6","65.6","67.2","67.6","59.6"
"Observations","85","85","140","140","168","168","149","149","155","155"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="est1",="est2",="est3",="est4",="est5",="est6",="est7",="est8",="est9",="est10"
="Democracy Index",="-0.4***",="-0.4***",="-0.4***",="-0.4***",="-0.5**",="-0.5***",="-0.4***",="-0.5***",="-0.9",="-0.4***"
="",="(0.08)",="(0.09)",="(0.07)",="(0.06)",="(0.2)",="(0.07)",="(0.06)",="(0.04)",="(0.5)",="(0.07)"
="Observations",="84",="84",="133",="133",="155",="155",="138",="138",="146",="146"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="est1",="est2",="est3",="est4",="est5",="est6",="est7",="est8",="est9",="est10"
