Municipality,Urban_Total,Total
TOTAL PAÍS,3598836,NA
01-AHUACHAPÁN,134925,NA
Ahuachapán,63981,NA
Apaneca,2943,NA
Atiquizaya,20864,NA
Concepción de Ataco,5902,NA
El Refugio,6315,NA
Guaymango,1309,NA
Jujutla,6909,NA
San Francisco Menéndez,12396,NA
San Lorenzo,1127,NA
San Pedro Puxtla,1887,NA
Tacuba,4889,NA
Turín,6403,NA
02-SANTA ANA,332650,NA
Candelaria de la Frontera,8148,NA
Chalchuapa,47695,NA
Coatepeque,13340,NA
El Congo,14594,NA
El Porvenir,921,NA
Masahuat,498,NA
Metapán,19356,NA
San Antonio Pajonal,1298,NA
San Sebastián Salitrillo,17481,NA
Santa Ana,204340,NA
Santa Rosa Guachipilín,431,NA
Santiago de la Frontera,1436,NA
Texistepeque,3112,NA
03-SONSONATE,261348,NA
Acajutla,25237,NA
Armenia,23994,NA
Caluco,1609,NA
Cuisnahuat,3001,NA
Izalco,39786,NA
Juayúa,13798,NA
Nahuizalco,33589,NA
Nahulingo,7362,NA
Salcoatitán,2020,NA
San Antonio del Monte,19982,NA
San Julián,9460,NA
Santa Catarina Masahuat,4286,NA
Santa Isabel Ishuatán,813,NA
Santo Domingo de Guzmán,2277,NA
Sonsonate,49129,NA
Sonzacate,25005,NA
04-CHALATENANGO,64148,NA
Agua Caliente,1984,NA
Arcatao,949,NA
Azacualpa,527,NA
Cancasque,668,NA
