Entity,Code,Day,"Cumulative excess deaths per 100,000 people (central estimate)","Cumulative excess deaths per 100,000 people (95% CI, upper bound)","Cumulative excess deaths per 100,000 people (95% CI, lower bound)"
Afghanistan,AFG,2020-01-01,-0.02214765,0.42046466,-0.28915802
Afghanistan,AFG,2020-01-06,-0.0442953,0.84802574,-0.57048637
Afghanistan,AFG,2020-01-13,-0.04757875,1.2819815,-0.837293
Afghanistan,AFG,2020-01-20,0.022122683,1.6988064,-1.125014
Afghanistan,AFG,2020-01-27,0.06337419,2.177791,-1.3776556
Afghanistan,AFG,2020-02-03,0.12654226,2.684884,-1.6760105
Afghanistan,AFG,2020-02-10,0.21267237,3.2034683,-2.4928243
Afghanistan,AFG,2020-02-17,0.27274153,3.6785934,-3.3788037
Afghanistan,AFG,2020-02-24,0.30070192,4.2428017,-4.058883
Afghanistan,AFG,2020-03-02,0.329365,4.183122,-4.6519413
Afghanistan,AFG,2020-03-09,0.4882863,4.759377,-5.653272
Afghanistan,AFG,2020-03-16,1.8548058,5.9403524,-5.19052
Afghanistan,AFG,2020-03-23,2.040268,6.583864,-5.5641856
Afghanistan,AFG,2020-03-30,2.20798,7.4869246,-6.828194
Afghanistan,AFG,2020-04-06,3.310485,7.965018,-7.330058
Afghanistan,AFG,2020-04-13,4.0110974,9.261216,-7.9073057
Afghanistan,AFG,2020-04-20,4.2351155,10.985834,-8.926589
Afghanistan,AFG,2020-04-27,4.7315435,12.011672,-9.935353
Afghanistan,AFG,2020-05-04,5.391588,13.371714,-10.536296
Afghanistan,AFG,2020-05-11,6.1816225,15.243689,-11.027591
Afghanistan,AFG,2020-05-18,7.6819,17.057936,-10.048876
Afghanistan,AFG,2020-05-25,8.949049,18.193264,-8.750826
Afghanistan,AFG,2020-06-01,9.984016,20.43607,-7.2660146
Afghanistan,AFG,2020-06-08,11.561783,23.119638,-5.481292
Afghanistan,AFG,2020-06-15,14.984698,27.086416,-4.7217293
Afghanistan,AFG,2020-06-22,18.59574,31.313936,-3.4005797
Afghanistan,AFG,2020-06-29,20.962482,33.943584,-2.097405
Afghanistan,AFG,2020-07-06,23.417234,36.36227,-0.44578743
Afghanistan,AFG,2020-07-13,25.898653,38.124775,1.1945491
Afghanistan,AFG,2020-07-20,28.503178,42.72037,3.33462
Afghanistan,AFG,2020-07-27,30.820864,47.210556,5.329241
Afghanistan,AFG,2020-08-03,33.167717,51.341187,6.4131284
Afghanistan,AFG,2020-08-10,34.73419,53.9912,7.383874
Afghanistan,AFG,2020-08-17,37.07952,55.85094,8.686202
Afghanistan,AFG,2020-08-24,39.411713,57.9139,9.381568
Afghanistan,AFG,2020-08-31,41.39029,59.98406,9.947733
Afghanistan,AFG,2020-09-07,42.6349,61.722137,10.469358
Afghanistan,AFG,2020-09-14,43.80451,63.491474,11.003286
Afghanistan,AFG,2020-09-21,45.11587,65.245,11.607359
Afghanistan,AFG,2020-09-28,46.50479,66.9759,12.1347
Afghanistan,AFG,2020-10-05,47.872276,68.67525,12.692032
Afghanistan,AFG,2020-10-12,49.550076,70.63449,13.426303
Afghanistan,AFG,2020-10-19,51.18402,72.57265,14.109811
Afghanistan,AFG,2020-10-26,52.747807,75.25063,15.569493
Afghanistan,AFG,2020-11-02,54.60374,77.87439,16.789274
Afghanistan,AFG,2020-11-09,56.77237,80.860245,18.003876
Afghanistan,AFG,2020-11-16,58.92094,82.74128,19.038254
Afghanistan,AFG,2020-11-23,61.152737,85.11748,20.650867
Afghanistan,AFG,2020-11-30,62.940186,88.780136,22.624884
Afghanistan,AFG,2020-12-07,65.05861,92.61084,23.467941
Afghanistan,AFG,2020-12-14,67.02845,96.39054,24.279016
Afghanistan,AFG,2020-12-21,68.87851,97.9712,24.863335
Afghanistan,AFG,2020-12-28,70.67312,99.40112,25.532328
Afghanistan,AFG,2021-01-04,71.67951,100.020325,26.228506
Afghanistan,AFG,2021-01-11,72.64288,100.68233,26.982119
Afghanistan,AFG,2021-01-18,73.45743,103.61753,26.927952
Afghanistan,AFG,2021-01-25,74.38838,105.291916,27.169922
Afghanistan,AFG,2021-02-01,74.98428,106.38092,27.459085
Afghanistan,AFG,2021-02-08,75.54064,107.417465,27.405136
Afghanistan,AFG,2021-02-15,76.27277,108.55548,27.603214
Afghanistan,AFG,2021-02-22,76.68676,109.60047,27.548012
Afghanistan,AFG,2021-03-01,76.89182,110.47724,27.37758
Afghanistan,AFG,2021-03-08,77.42851,111.3155,27.19701
Afghanistan,AFG,2021-03-15,78.12883,112.347725,27.080816
Afghanistan,AFG,2021-03-22,78.89683,113.35565,27.131107
Afghanistan,AFG,2021-03-29,80.05621,117.14351,27.615725
Afghanistan,AFG,2021-04-05,81.46367,120.69497,28.516932
Afghanistan,AFG,2021-04-12,82.93446,124.372086,28.984806
Afghanistan,AFG,2021-04-19,84.37242,128.13254,29.863594
Afghanistan,AFG,2021-04-26,86.17439,132.4352,31.021778
Afghanistan,AFG,2021-05-03,88.17119,136.82095,32.07895
Afghanistan,AFG,2021-05-10,90.2728,139.10307,33.370552
Afghanistan,AFG,2021-05-17,93.106476,141.38864,35.37064
Afghanistan,AFG,2021-05-24,96.31666,143.529,36.31261
Afghanistan,AFG,2021-05-31,100.54978,145.23328,38.72598
Afghanistan,AFG,2021-06-07,106.16189,147.24898,41.874355
Afghanistan,AFG,2021-06-14,113.27507,150.58713,45.66206
Afghanistan,AFG,2021-06-21,120.49961,154.2481,48.441414
Afghanistan,AFG,2021-06-28,125.5713,157.94928,50.505154
Afghanistan,AFG,2021-07-05,130.61769,161.71832,52.971207
Afghanistan,AFG,2021-07-12,135.64468,165.61542,55.763824
Afghanistan,AFG,2021-07-19,140.27657,170.26155,57.84013
Afghanistan,AFG,2021-07-26,144.63953,174.86111,60.009903
Afghanistan,AFG,2021-08-02,150.92575,179.65598,62.72673
Afghanistan,AFG,2021-08-09,154.38405,184.13884,65.31597
Afghanistan,AFG,2021-08-16,157.52791,188.85915,68.28878
Afghanistan,AFG,2021-08-23,159.90123,193.60316,70.225365
Afghanistan,AFG,2021-08-30,162.07793,197.5872,71.77979
Afghanistan,AFG,2021-09-06,164.21715,201.38991,73.33523
Afghanistan,AFG,2021-09-13,166.30357,205.22823,74.9357
Afghanistan,AFG,2021-09-20,168.31543,208.22922,75.68432
Afghanistan,AFG,2021-09-27,170.10016,211.16826,76.22527
Afghanistan,AFG,2021-10-04,171.65839,213.8693,76.73259
Afghanistan,AFG,2021-10-11,173.49695,216.78249,76.90557
Afghanistan,AFG,2021-10-18,174.95457,219.65001,77.05383
Afghanistan,AFG,2021-10-25,176.27843,222.3023,77.17893
Afghanistan,AFG,2021-11-01,177.662,225.09752,77.517136
Afghanistan,AFG,2021-11-08,178.3365,227.54236,77.76857
Afghanistan,AFG,2021-11-15,179.0034,231.8786,78.00887
Afghanistan,AFG,2021-11-22,179.72647,236.64911,78.25695
Afghanistan,AFG,2021-11-29,180.23488,240.59532,78.2624
Afghanistan,AFG,2021-12-06,180.72166,242.4974,78.23844
Afghanistan,AFG,2021-12-13,181.20863,243.72902,78.29441
Afghanistan,AFG,2021-12-20,181.8075,244.897,78.29003
Afghanistan,AFG,2021-12-27,182.31044,245.84853,78.55204
Afghanistan,AFG,2022-01-03,182.78654,246.86282,78.710464
Afghanistan,AFG,2022-01-10,183.2679,247.67282,78.682335
Afghanistan,AFG,2022-01-17,183.73923,248.31985,78.65461
Afghanistan,AFG,2022-01-24,184.25508,249.06306,79.41055
Afghanistan,AFG,2022-01-31,186.3841,250.62717,81.83541
Afghanistan,AFG,2022-02-07,188.56885,252.58035,83.56544
Afghanistan,AFG,2022-02-14,190.85081,254.74376,86.21678
Afghanistan,AFG,2022-02-21,193.39142,256.9101,88.63416
Afghanistan,AFG,2022-02-28,195.67915,258.3734,90.26066
Afghanistan,AFG,2022-03-07,198.14156,260.27338,91.49204
Afghanistan,AFG,2022-03-14,199.50836,261.661,92.79162
Afghanistan,AFG,2022-03-21,200.02744,262.5387,94.12297
Afghanistan,AFG,2022-03-28,201.78893,264.94885,94.83033
Afghanistan,AFG,2022-04-04,202.54718,266.67288,96.138275
Afghanistan,AFG,2022-04-11,203.18454,268.32117,96.136024
Afghanistan,AFG,2022-04-18,203.84207,270.0183,96.10784
Afghanistan,AFG,2022-04-25,204.54659,273.00336,96.214096
Afghanistan,AFG,2022-05-02,205.18694,277.16714,96.20476
Afghanistan,AFG,2022-05-09,205.82611,280.79245,96.45805
Afghanistan,AFG,2022-05-16,206.48859,284.25284,96.23112
Afghanistan,AFG,2022-05-23,207.21913,284.53085,96.00337
Afghanistan,AFG,2022-05-30,209.39697,285.08163,96.306366
Afghanistan,AFG,2022-06-06,211.58318,286.792,96.51855
